Ho et al. origin time,Reproduced longitude,Reproduced latitude,Reproduced depth (km),Origin time without near source,Latitude without near source,Longitude without near source,Depth without near source (km),Origin time with STAR,Latitude with STAR,Longitude with STAR,Depth with STAR (km)
2002-12-23T19:18:03.419838,161.32693270136528,-75.36809684733937,-4.648438,2002-12-23T19:18:03.681878,-75.35059470670052,161.23240180250906,-4.648438,,,,
2002-12-23T21:03:16.885558,160.74949784208022,-75.33673639171712,-4.648438,2002-12-23T21:03:47.189364,-76.45420464901996,159.28339579792183,63.90625,,,,
2002-12-24T00:38:08.124409,160.92052169615533,-75.27641325088983,-4.648438,2002-12-24T00:38:08.323964,-75.30149270481027,160.72429833466276,-4.296875,,,,
2002-12-24T18:15:40.682488,161.3148023157173,-75.24487668442424,1.679688,2002-12-24T18:15:41.798648,-75.25412542338799,161.2585928004152,64.609375,,,,
2002-12-25T04:04:01.478188,160.77818037565433,-75.50903654387444,131.054688,2002-12-25T04:04:01.714942,-75.33383681394002,161.0928327503939,-4.296875,,,,
2002-12-25T14:49:16.132306,161.01071122437585,-75.27490751691666,-4.648438,,,,,,,,
2002-12-25T19:26:40.697721,161.05728895848094,-75.14251492953998,71.640625,2002-12-25T19:26:41.182077,-75.2955665319618,161.08564916615381,-4.296875,,,,
2002-12-26T00:10:03.147858,161.13444322027325,-75.31391910360318,-4.648438,2002-12-26T00:10:03.277832,-75.30924863547752,161.24366906639588,-4.296875,,,,
2002-12-26T00:52:20.412680,161.01513135109022,-75.2282221113988,56.523438,2002-12-26T00:52:20.840129,-75.212902212401,161.10886458023572,13.28125,,,,
2002-12-26T02:34:14.883643,161.12353303122075,-75.25651925847808,61.445312,2002-12-26T02:34:15.125183,-75.33537553815663,161.0022854242962,-2.1875,,,,
2002-12-26T03:27:02.222960,161.45535187034696,-75.3602357580949,-4.648438,2002-12-26T03:27:02.575239,-75.68761104269895,160.93495973731302,151.09375,,,,
2002-12-26T07:06:45.104785,161.2661113343985,-75.25947507785128,84.648438,2002-12-26T07:06:45.164867,-75.30470018256581,161.19096273968574,-4.296875,,,,
2002-12-26T09:24:29.557355,161.3371625311469,-75.22800991008498,68.476562,2002-12-26T09:24:29.235938,-75.30924863547752,161.24366906639588,-4.296875,,,,
2002-12-26T15:29:48.817265,161.37060625241767,-75.20270674296911,66.367188,2002-12-26T15:29:48.529507,-75.28784356999506,161.21355830609028,-4.296875,,,,
2002-12-28T00:51:20.570115,161.2927086161391,-75.32756749910413,-4.648438,2002-12-28T00:51:20.682999,-75.33383681394002,161.0928327503939,-4.296875,,,,
2002-12-28T01:21:26.678333,161.3864165932124,-75.27921570055302,-4.648438,2002-12-28T01:21:26.256625,-75.27218073738719,161.46896669592272,-4.296875,,,,
2002-12-28T02:16:57.932506,160.15064595231286,-75.42478623027272,124.726562,2002-12-28T02:16:57.954189,-75.31542777980577,160.8820406901189,-4.296875,,,,
2002-12-29T02:36:49.932705,161.28050661748978,-75.10564781691473,80.078125,2002-12-29T02:36:50.838418,-75.17880018362702,161.4748593151446,-4.296875,,,,
2002-12-29T06:57:23.413757,161.56250219221715,-75.25667039352902,69.882812,2002-12-29T06:57:23.704253,-75.23044898057283,161.64054106609757,8.359375,,,,
2002-12-29T14:45:42.008443,161.45624886326888,-75.18189751905688,-4.648438,2002-12-29T14:45:41.894371,-75.23870315833405,161.35223572325904,114.179688,,,,
2002-12-29T19:01:33.501511,161.51950904040942,-75.35627799846041,-4.648438,2002-12-29T19:01:34.328494,-75.67834983521885,160.82696754978272,151.09375,,,,
2002-12-30T06:57:25.012613,161.15682278841362,-75.36289851629626,-4.648438,2002-12-30T06:57:25.153030,-75.35982489760204,161.1757295466063,-4.296875,,,,
2002-12-30T07:38:17.630249,161.4548233108013,-75.32731968940396,78.671875,2002-12-30T07:38:17.757636,-75.38578400497778,161.25892418147296,-4.296875,,,,
2002-12-30T14:45:48.913050,161.49179862531636,-75.2882085452766,-0.429688,2002-12-30T14:45:48.749607,-75.25529768335856,161.4911904354896,1.328125,,,,
2002-12-31T03:17:57.047851,161.2057470034981,-75.5458623802101,-4.648438,2002-12-31T03:17:57.436072,-75.21255587328004,161.4305552989595,47.734375,,,,
2002-12-31T17:16:24.436196,161.4395826624396,-75.31663127061796,-0.78125,,,,,,,,
2002-12-31T18:00:40.005083,160.87133099932544,-75.29092690244885,-4.648438,2002-12-31T18:00:40.402536,-75.73897337451747,160.43724070591998,160.9375,,,,
2002-12-31T23:18:11.903249,161.47362042332864,-75.3242214839531,99.414062,2002-12-31T23:18:11.935681,-75.3610822379167,161.41001827354458,108.203125,,,,
2003-01-04T00:37:33.465491,161.2917624139762,-75.1301187697481,-4.648438,2003-01-04T00:37:33.940728,-75.24658727115981,161.06361163119666,125.78125,,,,
