channel,phase,time
BHZ,P,2013-03-20T17:46:00.616988
BHN,S,2013-03-21T19:04:12.001331
BHZ,P,2013-03-21T19:04:00.979872
BHN,S,2013-03-22T23:51:09.627377
BHZ,P,2013-03-22T23:50:58.253591
BHN,S,2013-03-24T17:17:50.532521
BHZ,P,2013-03-24T17:17:39.687169
BHN,P,2013-03-24T22:07:21.316828
BHN,S,2013-03-24T22:07:21.228524
BHZ,P,2013-03-24T22:07:10.558584
BHN,S,2013-03-25T10:04:57.931686
BHZ,P,2013-03-25T10:04:46.172263
BHN,S,2013-03-30T23:43:18.678188
BHZ,P,2013-03-30T23:43:06.750519
BHN,S,2013-04-01T17:55:44.864677
BHZ,P,2013-04-01T17:55:32.747323
BHN,S,2013-04-02T05:45:29.178397
BHZ,P,2013-04-02T05:45:18.630766
BHN,S,2013-04-02T11:57:07.816323
BHZ,P,2013-04-02T11:56:58.498976
BHN,P,2013-04-02T12:12:02.494483
BHN,S,2013-04-02T12:12:02.494483
BHZ,P,2013-04-02T12:11:51.656281
BHN,S,2013-04-05T11:40:24.065225
BHZ,P,2013-04-05T11:40:12.334337
BHN,S,2013-04-08T12:29:16.929694
BHZ,P,2013-04-08T12:29:05.526302
BHN,S,2013-04-10T08:32:49.579125
BHZ,P,2013-04-10T08:32:40.060875
BHN,S,2013-04-10T08:40:22.739414
BHZ,P,2013-04-10T08:40:10.922684
BHN,S,2013-04-10T15:16:42.238665
BHZ,P,2013-04-10T15:16:31.749825
BHN,S,2013-04-14T11:28:51.657209
BHZ,P,2013-04-14T11:28:41.473309
BHN,S,2013-04-15T21:53:40.119657
BHZ,P,2013-04-15T21:53:29.113975
BHN,S,2013-04-17T21:05:25.575385
BHZ,P,2013-04-17T21:05:16.253533
BHN,S,2013-04-18T14:15:47.655687
BHZ,P,2013-04-18T14:15:33.804841
BHN,S,2013-04-20T10:59:54.800732
BHZ,P,2013-04-20T10:59:45.172093
BHE,S,2013-04-26T23:00:14.310775
BHZ,P,2013-04-26T23:00:05.338304
BHN,S,2013-04-28T15:42:44.603914
BHZ,P,2013-04-28T15:42:33.993926
BHN,S,2013-05-04T22:12:50.552998
BHZ,P,2013-05-04T22:12:40.584312
BHN,S,2013-05-10T11:41:59.407024
BHZ,P,2013-05-10T11:41:48.296076
BHN,S,2013-08-22T10:30:56.268770
BHZ,P,2013-08-22T10:30:45.301660
BHN,S,2013-08-31T10:41:33.454891
BHZ,P,2013-08-31T10:41:21.551854
BHN,S,2013-08-31T15:20:49.445908
